# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416449419;sda;14.62;9.21;877.85;60.67;0.20;13.65;0.45;0.65
axle;60;1416449479;sda;5.59;0.13;804.56;143.86;0.03;4.59;0.23;0.13
axle;60;1416449539;sda;6.63;0.00;960.08;144.91;0.04;5.82;0.22;0.15
axle;60;1416449599;sda;6.24;11.48;837.38;136.02;0.03;5.47;0.19;0.12
axle;60;1416449659;sda;5.54;0.13;818.69;147.83;0.03;4.95;0.24;0.13
axle;60;1416449719;sda;6.74;0.13;886.29;131.53;0.04;5.36;0.21;0.14
axle;60;1416449779;sda;6.17;0.00;1009.90;163.66;0.04;5.91;0.25;0.15
axle;60;1416449839;sda;5.82;0.13;726.44;124.74;0.03;4.79;0.22;0.13
axle;60;1416449899;sda;7.03;0.00;897.65;127.70;0.03;4.79;0.25;0.17
axle;60;1416449959;sda;5.99;0.00;906.16;151.22;0.03;4.77;0.21;0.13
axle;60;1416450019;sda;5.50;0.40;780.92;141.94;0.03;5.04;0.19;0.11
axle;60;1416450079;sda;6.87;0.00;871.54;126.80;0.03;4.45;0.21;0.15
axle;60;1416450139;sda;7.90;2.41;1130.77;143.41;0.06;7.97;0.23;0.18
axle;60;1416450199;sda;5.24;0.53;765.03;146.14;0.03;5.78;0.24;0.13
