Linux 3.0.101-0.15-default (axle) 	11/20/2014 	_x86_64_

03:09:19 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:10:19 AM     all     81.30      0.00     15.67      0.04      0.00      2.99
03:11:19 AM     all     78.36      0.00     17.14      0.00      0.00      4.50
03:12:19 AM     all     81.20      0.00     16.58      0.00      0.00      2.22
03:13:19 AM     all     82.53      0.00     16.17      0.00      0.00      1.30
03:14:19 AM     all     82.36      0.00     16.56      0.00      0.00      1.08
03:15:19 AM     all     76.12      0.00     20.02      0.00      0.00      3.86
03:16:19 AM     all     79.65      0.00     17.58      0.00      0.00      2.77
03:17:19 AM     all     83.10      0.00     14.59      0.00      0.00      2.30
03:18:19 AM     all     77.89      0.00     18.56      0.00      0.00      3.54
03:19:19 AM     all     79.21      0.00     18.73      0.00      0.00      2.06
03:20:19 AM     all     86.55      0.00     12.78      0.00      0.00      0.67
03:21:19 AM     all     83.04      0.00     15.61      0.00      0.00      1.35
03:22:19 AM     all     70.00      0.00     15.93      0.00      0.00     14.06
03:23:19 AM     all     23.34      0.00      7.28      0.01      0.00     69.37
