# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416448590;6739996;257784428;97.45;90096;54137676;208103340;76.25
axle;59;1416448650;14960208;249564216;94.34;90184;46023256;208137500;76.27
axle;60;1416448710;13425460;251098964;94.92;90260;47910660;207730976;76.12
axle;60;1416448770;10541664;253982760;96.01;90356;49176312;209346668;76.71
axle;60;1416448830;12260708;252263716;95.36;90472;49202856;207480232;76.03
axle;60;1416448890;11134228;253390196;95.79;90552;50194172;207628276;76.08
axle;60;1416448950;7836652;256687772;97.04;90624;53631900;207478976;76.02
axle;60;1416449010;6899952;257624472;97.39;90716;54542148;207513460;76.04
axle;60;1416449070;6928132;257596292;97.38;90764;54544028;207478696;76.02
axle;60;1416449130;4493504;260030920;98.30;90812;56573524;207894088;76.18
axle;60;1416449190;3962304;260562120;98.50;90932;56657892;208329268;76.34
