Linux 3.0.101-0.15-default (axle) 	11/20/2014 	_x86_64_

02:55:30 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:56:30 AM     all      5.36      0.00      7.34      0.06      0.00     87.24
02:57:30 AM     all      6.28      0.00      6.90      0.00      0.00     86.82
02:58:30 AM     all      6.27      0.00      6.59      0.01      0.00     87.14
02:59:30 AM     all      7.26      0.00      5.66      0.00      0.00     87.07
03:00:30 AM     all      6.13      0.00      3.40      0.00      0.00     90.47
03:01:30 AM     all      5.47      0.00      0.86      0.00      0.00     93.67
03:02:30 AM     all      4.34      0.00      2.02      0.00      0.00     93.64
03:03:30 AM     all      4.47      0.00      1.87      0.00      0.00     93.66
03:04:30 AM     all      5.99      0.00      0.32      0.00      0.00     93.69
03:05:30 AM     all      5.40      0.00      0.90      0.00      0.00     93.70
03:06:30 AM     all      4.78      0.00      1.61      0.00      0.00     93.60
