# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416448045;22385904;242138520;91.54;89264;38925856;207795820;76.14
axle;60;1416448105;20365560;244158864;92.30;89324;40947552;207645316;76.09
axle;60;1416448165;20346040;244178384;92.31;89376;40961172;207790228;76.14
axle;60;1416448225;20327032;244197392;92.32;89432;40977136;207645312;76.09
axle;60;1416448285;20300416;244224008;92.33;89560;41005132;207790932;76.14
axle;60;1416448345;17155608;247368816;93.51;89636;41012384;210942104;77.29
axle;60;1416448405;20443812;244080612;92.27;89664;41014356;207504380;76.03
axle;60;1416448465;20439964;244084460;92.27;89708;41018360;207502344;76.03
axle;60;1416448525;20345380;244179044;92.31;89744;41026820;207580052;76.06
